"","GI_18426974-S","GI_41197088-S","GI_17981706-S","GI_41190507-S","GI_33356162-S","Hs.449605-S","GI_37546026-S","Hs.512137-S","GI_37546969-S","Hs.449584-S","Hs.406489-S","GI_18641371-S","Hs.449609-S","hmm3574-S","hmm10298-S","Hs.449602-S","GI_11095446-S","Hs.512124-S","GI_37542230-S","hmm3577-S","GI_21389378-S","GI_27754767-I","GI_13514808-S","GI_13027804-S","GI_4504410-S","GI_11993934-S","GI_33356559-S","GI_37537697-S","hmm10289-S","GI_42660576-S","GI_34915989-S","GI_31377723-S","GI_28416938-S","GI_42656398-S","Hs.449572-S","GI_23065546-A","GI_42662536-S","GI_41190543-S","GI_23510363-A","GI_7661757-S","GI_27482629-S","GI_16554578-S","GI_34222299-S","GI_31652245-I","GI_27754767-A","GI_8923472-S","GI_20070269-S","GI_30795192-A","GI_31077201-S","GI_27894333-A","GI_24308084-S","GI_19743804-A","GI_28610153-S","GI_27764881-S","GI_4507820-S","GI_21464138-A","GI_14211892-S","GI_27894329-S","Hs.185140-S","GI_4505888-A","GI_34222336-S","GI_27477086-S","GI_4504436-S","GI_21614524-S","GI_24497529-I","GI_19224662-S","GI_22027487-S","GI_9961355-S","GI_21389558-S","GI_24797066-S","GI_38569448-S","GI_28557780-S","GI_20302136-S","GI_16159362-S","Hs.171273-S","Hs.136376-S","GI_4502630-S","GI_4504700-S","GI_7657043-S","GI_42476191-S","GI_37546229-S","GI_7662241-S","GI_13325059-S","GI_4505948-S","GI_41350202-S","GI_20373176-S","hmm9615-S","GI_21389548-S","hmm3587-S","GI_7019408-S","GI_37537705-I","GI_31341400-S","GI_18641372-S","GI_30409981-S","GI_5454143-S","GI_40354211-S","GI_18379361-A","GI_20143949-A","GI_4507426-S","GI_14602456-I"
"Hs.406489-S",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.28,0,0,0.18,0,0.13,0.02,0,0,0,0.01,0.11,0,0,0,0.02,0,0,0,0,0,0.48,0,0,0.15,0.37,0.01,0,0.03,0,0,0.05,0,0,0,0,0,0.47,0,0,0.05,0,0,0,0,0,0,0,0,0,0.37,0,0.61,0,0.36,0,0,0.45,0,0,0.15,0,0,0,0,0.1,0,0.06,0,0.14,0,0,0,0.04,0.06,0.02,0,0,0.24,0,0,0
"GI_18641371-S",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0,0.74,0,0,0,0,0,0.07,0,0,0,0.06,0,0.15,0.11,0,0,0.09,0,0,0,0,0.11,0,0,0,0.02,0,0,0,0,0,0,0,0.16,0,0,0.04,0,0,0,0,0,0,0,0.04,0,0,0,0,0,0,0,0.05,0,0,0.08,0,0,0.11,0,0.01,0,0.04,0.05,0,0,0,0,0,0.32,0,0,0.16,0.05,0,0,0,0,0,0,0.38,0,0,0
"Hs.449609-S",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,1,0.06,0.54,0.68,0.18,0,0,0,0,0,0,0,0.3,0.04,0.13,0,0,0,0,0,1,0,0,0,0,0,0,0,0.01,0.05,0,0.02,0.56,0.19,0,0,0,0,0,0,0,0,0,0.11,0,0,0,0,0.15,0,0,0,0,0.03,0.16,0,0.27,0,0,0,0,0,0,0.08,0,0,0,0,0,0,0,0,0.03,0.25,0,0,0,0,0,0,0,0.01,0
"hmm3574-S",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14,0.1,0,0,0.48,1,0,0.23,0,0,0,0,0,0,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0.04,0,0,0,0,0,0.25,0,0,0,0,0,0,0.07,0,0,0.08,0.16,0.36,0,0,0,0,0.06,0.05,0.13,0.37,0,0.03,0,0,0,0.15,0,0,0,0,0,0.07,0,0,0,0,0,0,0,0,0,0,0.02,0.06,0,0,0.04,0,0,0.59,0
"hmm10298-S",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06,0.08,0,0,0.03,0.02,0,0,0,0,0.28,0,0.52,0.35,0,0,0,0,0,0.15,0,0.26,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0.27,0,0.01,0.11,0,0.04,0,0.28,0.09,0.05,0,0,0,0,0,0,0,0.83,0,0,0,0.04,0,0,0.1,0,0,0,0,0,0,0,0.1,0,0.04,0.04,0.17,0.16,0,0,0,0.04,0,0.85,0,0.89,0.1,0,0,0.3
"Hs.449602-S",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.12,0,0,0,0,0,0.15,0.17,0,0.15,0,0,0,0,0,0,0.18,0,0,0.23,0,0,0,0.2,0,0,0,0,0.07,0,0,0,0.13,0,0.01,0,0.07,0.28,0.01,0,0.07,0,0,0.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.17,0.01,0.06,0.2,0,0.06,0,0,0,0,0,0,0,0,0,0,0,0
"GI_11095446-S",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,0,0,0,0,0,0.05,0.22,0,0.13,0,0.08,0.06,0.09,0,0,0,0,0,0,0,0,0,0,0.04,0,0,0,0,0,0.07,0.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0,0,0.27,0,0,0,0.01,0,0,0,0.69,0.05,0.05,0,0,0,0.02,0,0,0.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Hs.512124-S",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12,0,0,0,0,0.26,0.19,0.02,0,0,0,0,0.01,0,0.25,0,0,0,0,0.01,0.04,0,0.36,0,0,0,0,0,0.16,0,0,0.05,0,0,0,0,0,0.1,0,0,0,0.12,0,0,0.06,0.05,0,0.11,0.01,0,0,0.11,0.03,0,0,0,0,0,0,0,0,0.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,0,0,0
"GI_37542230-S",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12,0,0,0,0,0,0.11,0,0,0,0,0.18,0,0,0,0,0,0,0,0.12,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.08,0,0,0,0.09,0,0,0,0,0,0,0,0.17,0.17,0,0,0,0.16,0.04,0.47,0.01,0,0.12,0,0.05,0,0,0,0,0,0,0,0.02,0,0.04,0.14,0.06,0,0,0,0,0,0,0,0,0,0.24,0
"hmm3577-S",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07,0.06,0,0.07,0,0.05,0,0,0,0,0.07,0,0.63,0,0,0,0.01,0,0,0,0.04,0.19,0.07,0.23,0.69,0.09,0,0,0,0,0,0,0,0,0,0,0.18,0,0,0.03,0,0,0,0.04,0,0,0.7,0,0.89,0.14,0.19,0.02,0,0,0,0.07,0,0,0,0.08,0,0,0,0.64,0,0,0,0,0,0,0,0.07,0.09,0,0,0.14,0,0,0,0.08
"GI_21389378-S",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,0.02,0.06,0,0,0,0,0,0,0,0.01,0.02,0,0,0,0,0,0,0,0,0,0.32,0.02,0.09,0,0,0.27,0,0.04,0,0,0.14,0,0,0.04,0,0,0.01,0,0,0,0.45,0,0.13,0,0.02,0,0,0,0.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0.18,0,0,0,0.3,0.05,0.16,0,0,0,0,0,0.15,0,0
"GI_27754767-I",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.28,0,0,0.03,0,0.07,0,0,0.14,0,0,0,0,0,0,0,0.21,0,1,0.2,0,1,0,0.62,0.03,0.08,0,0.15,0,0,0,0,0.87,0,0.18,0,0,0.19,0,0,0,0,0,0.97,0,0,0,0,0,0.01,0,0,0,0.01,0.38,0.02,0,0.01,0,0,0,0,0,0.02,0,0,0,0,1,0.01,0,0,0,1,0,0,0
"GI_13514808-S",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.71,0,0,0,0,0,0,0,0,0,0.04,0,0,0,0,0,0.05,0,0,0.46,0,0,0,0,0,0,0.06,0,0,0,0.16,0.16,0.14,0,0,1,0,0.13,0,0,0,0,0,0,0,0,0,0,0.47,0,0,0,0.08,0,0,0,0,0,0,1,0.05,0,0,0,0.04,0,0,0.01,0.01,0.09,0,0,1,0
"GI_13027804-S",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,0,0.04,0,0,0,0.83,0,0.14,0,0.04,0.12,0,0.18,0.07,0.05,0,0.14,0.87,0.2,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0.15,0,0.47,0,0,0,0,0.15,0,0,0,0,0,0,0,0,0,0.18,0,0.07,0,0.56,0.08,0.07,0,0,0,0,0.07,0,0.06,1,0,0,0,0,0.05,0,0.73,0,0,0
"GI_4504410-S",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14,0.15,0,0,0,0,0,0.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,0,0,0,0,0,0.06,0.02,0,0,0,0,0,0,0.08,0,0,0,0,0.19,0,0,0,0,0.13,0,0,0.02,0,0,0,0,0,0,0,0,0,0.16,0,0,0,0,0,1,0,0,0,0,0.07,0,0
"GI_11993934-S",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,0.15,0,0,0,0.02,0,0.08,0.44,0.15,0,0.03,0,0.09,0,0.8,0,0,0,0,0,0,0,0,0,0,0.02,0,0,0.3,0,0.12,0,0,0,0,0,0,0,0.32,0.06,0,0,0,0,0,0.13,0,0,0.03,0.05,0,0.13,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0.03,0,0
"GI_33356559-S",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09,0,0.13,0.26,0,0,0.04,0,0,0,0,0,0,0.05,0,0,0,0,0,0,0.23,0.05,0,0,0,1,0,0,0,0,0,0.17,0,0,0,0,0,0,0,0,0,0,0,0.28,0.07,0,0.08,0,0.06,0,0,0,0,0,0.02,0,0,0.95,0,0.07,0.06,0.07,0.06,0,0.17,0,0,0,0.02
"GI_37537697-S",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.81,0,0,0,0.07,0,0,0,0.06,0,0.02,0,0,0.18,0.02,0,0.05,0,0,0,0.1,0,0.05,0.02,0,0,0,0,0,0,0.08,0,0.26,0,0,0,0,0.76,1,0.15,0,0,0,0,0,0,1,0,0,0.06,0,0,0,0,0.07,0.01,0,0,0.06,0,0,0,0,0,0,0,0.08,0.72,0,0.28,0,0.22
"hmm10289-S",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.13,0,0,0,0.38,0,0.05,0.1,0,0,0,0,0.31,0,0.18,0,0,0,0,0.06,0,0,0,0,0,0,0,0,0,0.4,0.14,0.13,0,0,0,0,0.18,0.27,0,0.11,0.09,0.06,0.05,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05
"GI_42660576-S",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.13,0,0,0.05,0,0.04,0.06,0,0,0.02,0,0,0,0,0,0,0,0.03,0,0.12,0,0.28,0,0,0,0,0,0,0,0.48,0,0,0,0,0,0,0.2,0,0,0,0.05,0.04,0.04,0,0,0.03,0,0.17,0,0,0.06,0.02,0.06,0,0,0,0.07,0,0.3,0.07,0.04,0.22,0,0,0,0,0.06
"GI_34915989-S",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.75,0.25,0,1,0,0,0,0.16,0,0,0.26,0.12,0.06,0,0,0,0,0,0.39,0,0.02,0.02,0,0,0,0,0,0,0,0,0.13,0,0,0,0,0,0,0.03,0.07,0,0.11,0.06,0,0,0.02,0,0,0,0.14,0,1,0,0,0,0.1,0.26,0,0.07,0
"GI_31377723-S",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,0.97,0.08,0.91,0.06,0,0.25,0,0,0,0,1,0,0.09,0,0.09,0,0.08,0.34,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0,0.6,0,0.15,0,0,0,0.05,0.04,0.52,0,0.7,0,0,0,0,0.59,0,0,0.44,0,0.02,0.01,0,0,1,0.02,0,0,0
"GI_28416938-S",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,0,0,0,0,0,0.71,0,0,0,0,0,0,0,0.06,0,0,0,0.02,0.13,0,0,0,0.36,0,0.14,0,0,0,0,0,0,0.17,0,0,0,0,0.07,0,0.49,0,0,0,0.04,0,0,0,0,0,0,0,0,0.03,0,0,0.01,0,0,0,0.01,0,0,0.06,0,0,0
"GI_42656398-S",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0.09,0,0,0,0,0.07,0,0,0,0.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0.35,0,0.14,0,0.01,0,0,0,0,0,0.22,0,0,0,0,0.03,0,0,0.07,0,0,0.18,0.23,0,0,0.05,0,0.71,0,0,0.33,0,0
"Hs.449572-S",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08,0,0,0,0,0,0,0,0.57,0,0.01,0,0,0,0,0,0,0,0,0.14,0,0,0,0,0.03,0,0.13,0.01,0,0,0,0.4,0,0,0,0,0,0,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0.21,0,0.03,0.1
"GI_23065546-A",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11,0,0,0,0,0,0,0,0,0,0,0,0.04,0,0,0,0,0,0,0.26,0,0,0,0,0.08,0,0.01,0.04,0.16,0,0,0,0,0.04,0,0,0.05,0,0,0.05,0,0,0,0,0,0,0.21,0,0,0,0,0,0,0,0,0
"GI_42662536-S",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.13,0,0,0.03,0.02,0.06,0,0,0,0.66,0,0,0,0.13,0,0,0,0,0,0.34,0,0,0,0,0,0,0.1,0,0,0,0,0,0.05,0.14,0,0.06,0.15,0,0,0.03,0,0.08,0,0,0,0.02,0,0,0,0.23,0.05,0.21,0,0.06,0
"GI_41190543-S",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06,0,0,0.24,0,0,0,0,0.05,0.12,0,0,0,0,0,0,0,0,0.03,0,0,0.05,0,0,0,0,0,0,0,0,0.25,0.26,0.02,0.03,0,0,0,0.01,0,0,0,0,0,0.01,0.02,0,0,0,0,0.25,0.13,0,0,0,0,0,0,0.16,0
"GI_23510363-A",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.02,0.14,0.04,0,0.1,0.15,0,0.02,0,0,0,0,0,0.05,0,0,0,0,0,0,0.14,0,0.04,0,0,0,0,0,0.01,1,0,0,0,0.07,0,0,0.08,0.16,0.02,0,0,0,0.14,0,0,0,0,0,0.08,0,0,0,0,0.12,0.05,0,0,0
"GI_7661757-S",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.65,0,0.13,0.25,0,0,0,0,0.11,0.03,0,0,0,0,0,0,0,0.75,0,0,0,0,0,0,0,0.06,0.05,0,0,0,0,1,0,0,0.1,0.09,0,0,0,0,0.57,0,0,0,0,0,0,0.05,0,0,0,0,0.19,0,0.05,0.07,0,0,0
"GI_27482629-S",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7,0.04,0.88,0,0,0,0.14,0,0,0.03,0,0,1,0,0.01,0,0,0,0.23,0,0,0,0,0,0,0,0.15,0,0,0,0,0,0.12,0,0.12,0,0,0,0,0,0,0,0.04,0,0.26,0,1,0,0,0,0,0,0.09
"GI_16554578-S",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.16,0,0.04,0.04,0,0.8,0,0,0,0,0,0.09,0.39,0,0,0,0,0.23,0.01,0.11,0,0,0,0.04,0,0,0.16,0.7,0,0,0.18,0.09,0.29,0,0,0,0,0,0.02,0.04,0.01,0,0.13,0,0,0,0,0,0,0.15,0,0,0,0,0.11
"GI_34222299-S",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.06,0,0,0,0,0,0,0,1,0,0.75,1,0,0.09,0,0,0.08,0,0,1,0.03,0.04,1,0,0,0,0,0.1,0,0,0,0,0.04,0.07,0,0.05,0.43,0.17,0,0,0,0.12,0.31,0,0.05,0,0,0.99,0,0,0,0,0,0.28,0,0.07
"GI_31652245-I",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0.03,0,0.43,0,0,0.91,0,0,0,0,0,0,0,0.02,0,0,0.19,0.03,0,0,0,0.16,0.39,0,0,1,0,0,0.09,0,0,0.53,0,0,0,0.18,0.01,0.09,0.01,0,0,0,1,0,0,0,0.01,0.57,0,0,0,0.05
"GI_27754767-A",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,0,0.03,0,0,0,0,0.4,0.16,0,0.14,0,0.01,0,0,0.14,0,0,0,1,0,0,0,0,0,1,0,0,0.03,0,0,0,0,0,0.33,0,0,0,0.12,0,0,0.14,0,0.44,0.5,0.01,0,0,0,0,0,0.28
"GI_8923472-S",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0.03,0,0,0,0,0.19,0,0,0,0,0.06,0,0.21,0.86,0,0,0,0,0,0,0,0.03,0,0,0,0,0.09,0,0.07,0,0,0,0.27,0,0.1,0.01,0,0,0,0,0,0,0,0,0.13,0,0,0
"GI_20070269-S",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0.54,0,0,0.05,0,0,0.06,1,0,0,0,0,0,0.82,0.09,0,0,0,0,0,0.01,0,0,0.01,0,0,0.11,0,0,0,0,0.05,0,0.07,0,1,0,0,0,0,0.14,0,1,0,0.04,0
"GI_30795192-A",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.18,0.02,0.03,0.03,0,0,0,0,0.03,0,0,0,0,0.1,0.08,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0.09,0,0,0,0,0.1,0.1,0,0,0.12,0,0,0,0,0.08,0,0
